Field=Comment~String~Comment~176|Field=Description~String~Description~115|Field=Designator~String~Designator~115|Field=Footprint~String~Footprint~115|Field=LibRef~String~LibRef~115|Field=Quantity~Integer~Quantity~114|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Ad-Flier.PrjPcb|ReportField=ProjectFullPath~C:\Users\David\Desktop\Ad-Flier\altium\project_files\Ad-Flier.PrjPcb|ReportField=Title~Bill of Materials For Project [Ad-Flier.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~156|ReportField=ReportTime~1:51:36 PM|ReportField=ReportDate~3/28/2012|ReportField=ReportDateTime~3/28/2012 1:51:36 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~3/28/2012|ReportField=CurrentTime~1:51:29 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\David\Desktop\Ad-Flier\altium\project_files\FPGA_Clocks.SchDoc|ReportField=DocumentName~FPGA_Clocks.SchDoc|ReportField=DocumentNumber~6|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~3/26/2012|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.12|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=ProjectName~Ad-Flier.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Ad-Flier.PrjPcb|ReportField=DataSourceFullPath~C:\Users\David\Desktop\Ad-Flier\altium\project_files\Ad-Flier.PrjPcb
Header 5X2|Header, 5-Pin, Dual row|BB, JEPC|HDR2X5|Header 5X2|2
10uF Low-ESR Tantalum CaseA|Tantalum Capacitor - Case A|C1, C30, C41, C46, C47|Capacitor - Tantalum Case A|SMD_Cap_Tantalum|5
0.1uF SMD 1206|Capacitor|C2, C4, C5, C7, C8, C9, C12, C13, C15, C17, C21, C23, C24, C25, C26, C27, C28, C29, C31, C40, C43, C49, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C70, C71, C72, C74, C75, C76, C78|SMD 1206|Cap|42
4.7uF Low-ESR Tantalum CaseA|Tantalum Capacitor - Case A|C3, C20|Capacitor - Tantalum Case A|SMD_Cap_Tantalum|2
470nF SMD 0603|Capacitor|C6|SMD 0603|Cap|1
10uF Electrolitic|Polarized Capacitor (Radial)|C10, C37|CAPPR2-5x5|Cap Pol1|2
1.0uF Low-ESR Tantalum CaseA|Tantalum Capacitor - Case A|C11, C14, C16, C18, C39, C42, C44, C45, C48, C69, C73, C77|Capacitor - Tantalum Case A|SMD_Cap_Tantalum|12
8.2pF SMD 0805|Capacitor|C19|SMD 0805|Cap|1
220nF SMD 0603|Capacitor|C22|SMD 0603|Cap|1
22pF SMD 1206|Capacitor|C32, C33, C34, C35|SMD 1206|Cap|4
1.0uF Electrolitic|Polarized Capacitor (Radial)|C36|CAPPR2-5x5|Cap Pol1|1
0.1uF Ceramic|Capacitor|C38|CAPRD5-6.5x4.5|Cap|1
10nF SMD 1206|Capacitor|C79|SMD 1206|Cap|1
MBRS540T3G|40V 5A Scottky Diode|D1, D3|MBRS540T3G|MBRS540T3G|2
1SMAS913BT3G|3.3V 1.5W Zener Diode|D2|1SMA5913BT3G|1SMAS913BT3G|1
SPI1|Header, 4-Pin|Debug1|HDR1X4|Header 4|1
I2C1|Header, 3-Pin|Debug2|HDR1X3|Header 3|1
UART1|Header, 3-Pin|Debug3|HDR1X3|Header 3|1
SPI2|Header, 4-Pin|Debug4|HDR1X4|Header 4|1
UART2|Header, 3-Pin|Debug5|HDR1X3|Header 3|1
UART5|Header, 3-Pin|Debug6|HDR1X3|Header 3|1
EP2C8T144C8N|Cyclone II Family, 1.2V FPGA, 85 I/O Pins, 2 PLLs, 144-Pin TQFP, Speed Grade 8, Commercial Grade, Pb-Free|FPGA1|TQFP144_N|EP2C8T144C8N|1
DC Jack|DC Power Jack|H1|DC Power Jack|DC Jack|1
